id,label
TEST_00095,White Wagtail
TEST_00096,Jungle Babbler
TEST_00097,Rufous Treepie
TEST_00098,White Wagtail
TEST_00099,Common Kingfisher
TEST_00100,Rufous Treepie
TEST_00101,Common Kingfisher
TEST_00102,Common Tailorbird
TEST_00103,House Crow
TEST_00104,House Crow
TEST_00105,Ruddy Shelduck
TEST_00106,Forest Wagtail
TEST_00107,Hoopoe
TEST_00108,Red-Wattled Lapwing
TEST_00109,Coppersmith Barbet
TEST_00110,White-Breasted Kingfisher
TEST_00111,Common Tailorbird
TEST_00112,Asian Green Bee-Eater
TEST_00113,White Wagtail
TEST_00114,Common Myna
TEST_00115,Indian Grey Hornbill
TEST_00116,Coppersmith Barbet
TEST_00117,Coppersmith Barbet
TEST_00118,Asian Green Bee-Eater
TEST_00119,White-Breasted Kingfisher
TEST_00120,Indian Peacock
TEST_00121,Forest Wagtail
TEST_00122,Indian Roller
TEST_00123,White-Breasted Kingfisher
TEST_00124,White Wagtail
TEST_00125,House Crow
TEST_00126,Asian Green Bee-Eater
TEST_00127,Brown-Headed Barbet
TEST_00128,White-Breasted Kingfisher
TEST_00129,Coppersmith Barbet
TEST_00130,Cattle Egret
TEST_00131,Indian Roller
TEST_00132,Jungle Babbler
TEST_00133,Common Tailorbird
TEST_00134,Common Myna
TEST_00135,White Wagtail
TEST_00136,Common Kingfisher
TEST_00137,Common Myna
TEST_00138,Common Rosefinch
TEST_00139,Rufous Treepie
TEST_00140,Coppersmith Barbet
TEST_00141,Jungle Babbler
TEST_00142,Indian Peacock
TEST_00143,House Crow
TEST_00144,Red-Wattled Lapwing
TEST_00145,Asian Green Bee-Eater
TEST_00146,Forest Wagtail
TEST_00147,Common Rosefinch
TEST_00148,Red-Wattled Lapwing
TEST_00149,Asian Green Bee-Eater
TEST_00150,Hoopoe
TEST_00151,Asian Green Bee-Eater
TEST_00152,White-Breasted Waterhen
TEST_00153,House Crow
TEST_00154,White Wagtail
TEST_00155,Ruddy Shelduck
TEST_00156,Brown-Headed Barbet
TEST_00157,Jungle Babbler
TEST_00158,Common Kingfisher
TEST_00159,Indian Roller
TEST_00160,Asian Green Bee-Eater
TEST_00161,Indian Peacock
TEST_00162,Northern Lapwing
TEST_00163,Indian Grey Hornbill
TEST_00164,House Crow
TEST_00165,Asian Green Bee-Eater
TEST_00166,Common Kingfisher
TEST_00167,Hoopoe
TEST_00168,White-Breasted Waterhen
TEST_00169,White Wagtail
TEST_00170,White Wagtail
TEST_00171,Indian Pitta
TEST_00172,Forest Wagtail
TEST_00173,Common Rosefinch
TEST_00174,Common Myna
TEST_00175,Asian Green Bee-Eater
TEST_00176,Forest Wagtail
TEST_00177,Cattle Egret
TEST_00178,Cattle Egret
TEST_00179,Jungle Babbler
TEST_00180,Indian Peacock
TEST_00181,Jungle Babbler
TEST_00182,White-Breasted Waterhen
TEST_00183,Hoopoe
TEST_00184,Forest Wagtail
TEST_00185,White-Breasted Waterhen
TEST_00186,White Wagtail
TEST_00187,Gray Wagtail
TEST_00188,White Wagtail
TEST_00189,Common Tailorbird
TEST_00190,Indian Roller
TEST_00191,Indian Peacock
TEST_00192,Forest Wagtail
TEST_00193,Brown-Headed Barbet
TEST_00194,White-Breasted Waterhen
TEST_00195,Gray Wagtail
TEST_00196,Indian Roller
TEST_00197,Common Tailorbird
TEST_00198,Indian Peacock
TEST_00199,Forest Wagtail
TEST_00200,Asian Green Bee-Eater
TEST_00201,Asian Green Bee-Eater
TEST_00202,White-Breasted Waterhen
TEST_00203,Indian Peacock
TEST_00204,Common Myna
TEST_00205,White-Breasted Kingfisher
TEST_00206,Common Tailorbird
TEST_00207,Ruddy Shelduck
TEST_00208,Forest Wagtail
TEST_00209,Cattle Egret
TEST_00210,Hoopoe
TEST_00211,Cattle Egret
TEST_00212,Indian Grey Hornbill
TEST_00213,Sarus Crane
TEST_00214,Indian Pitta
TEST_00215,House Crow
TEST_00216,Indian Grey Hornbill
TEST_00217,Common Myna
TEST_00218,Common Kingfisher
TEST_00219,Ruddy Shelduck
TEST_00220,Brown-Headed Barbet
TEST_00221,Indian Roller
TEST_00222,Common Kingfisher
TEST_00223,Asian Green Bee-Eater
TEST_00224,White-Breasted Kingfisher
TEST_00225,White Wagtail
TEST_00226,Sarus Crane
TEST_00227,Common Kingfisher
TEST_00228,House Crow
TEST_00229,Red-Wattled Lapwing
TEST_00230,Cattle Egret
TEST_00231,Indian Roller
TEST_00232,Common Kingfisher
TEST_00233,Cattle Egret
TEST_00234,White Wagtail
TEST_00235,Red-Wattled Lapwing
TEST_00236,Indian Roller
TEST_00237,Rufous Treepie
TEST_00238,Red-Wattled Lapwing
TEST_00239,Indian Grey Hornbill
TEST_00240,White Wagtail
TEST_00241,Gray Wagtail
TEST_00242,Ruddy Shelduck
TEST_00243,Forest Wagtail
TEST_00244,Asian Green Bee-Eater
TEST_00245,Forest Wagtail
TEST_00246,Gray Wagtail
TEST_00247,White-Breasted Waterhen
TEST_00248,Indian Grey Hornbill
TEST_00249,Indian Grey Hornbill
TEST_00250,Brown-Headed Barbet
TEST_00251,Indian Grey Hornbill
TEST_00252,House Crow
TEST_00253,Ruddy Shelduck
TEST_00254,Indian Grey Hornbill
TEST_00255,Red-Wattled Lapwing
TEST_00256,Brown-Headed Barbet
TEST_00257,Indian Peacock
TEST_00258,Jungle Babbler
TEST_00259,Hoopoe
TEST_00260,Common Kingfisher
TEST_00261,Common Rosefinch
TEST_00262,White Wagtail
TEST_00263,Common Myna
TEST_00264,Indian Roller
TEST_00265,Indian Peacock
TEST_00266,Ruddy Shelduck
TEST_00267,Common Tailorbird
TEST_00268,Indian Grey Hornbill
TEST_00269,Northern Lapwing
TEST_00270,Indian Grey Hornbill
TEST_00271,Forest Wagtail
TEST_00272,Hoopoe
TEST_00273,Rufous Treepie
TEST_00274,White-Breasted Waterhen
TEST_00275,Forest Wagtail
TEST_00276,Asian Green Bee-Eater
TEST_00277,Common Myna
TEST_00278,Indian Grey Hornbill
TEST_00279,Indian Grey Hornbill
TEST_00280,Cattle Egret
TEST_00281,White-Breasted Kingfisher
TEST_00282,Indian Roller
TEST_00283,White Wagtail
TEST_00284,Common Kingfisher
TEST_00285,House Crow
TEST_00286,Rufous Treepie
TEST_00287,Indian Roller
TEST_00288,Brown-Headed Barbet
TEST_00289,Indian Grey Hornbill
TEST_00290,Asian Green Bee-Eater
TEST_00291,Common Myna
TEST_00292,Indian Grey Hornbill
TEST_00293,Cattle Egret
TEST_00294,Northern Lapwing
TEST_00295,White Wagtail
TEST_00296,White-Breasted Kingfisher
TEST_00297,Sarus Crane
TEST_00298,Asian Green Bee-Eater
TEST_00299,House Crow
TEST_00300,Ruddy Shelduck
TEST_00301,Indian Grey Hornbill
TEST_00302,House Crow
TEST_00303,Jungle Babbler
TEST_00304,Indian Grey Hornbill
TEST_00305,Forest Wagtail
TEST_00306,Ruddy Shelduck
TEST_00307,Common Tailorbird
TEST_00308,White Wagtail
TEST_00309,Cattle Egret
TEST_00310,White-Breasted Kingfisher
TEST_00311,Indian Grey Hornbill
TEST_00312,Northern Lapwing
TEST_00313,Asian Green Bee-Eater
TEST_00314,Indian Grey Hornbill
TEST_00315,House Crow
TEST_00316,Common Myna
TEST_00317,Indian Grey Hornbill
TEST_00318,White Wagtail
TEST_00319,House Crow
TEST_00320,Common Kingfisher
TEST_00321,Northern Lapwing
TEST_00322,White-Breasted Kingfisher
TEST_00323,Common Kingfisher
TEST_00324,Jungle Babbler
TEST_00325,White Wagtail
TEST_00326,Common Kingfisher
TEST_00327,Indian Roller
TEST_00328,Northern Lapwing
TEST_00329,Cattle Egret
TEST_00330,Indian Grey Hornbill
TEST_00331,Common Myna
TEST_00332,Northern Lapwing
TEST_00333,Gray Wagtail
TEST_00334,Indian Roller
TEST_00335,Ruddy Shelduck
TEST_00336,House Crow
TEST_00337,Asian Green Bee-Eater
TEST_00338,Brown-Headed Barbet
TEST_00339,House Crow
TEST_00340,Indian Peacock
TEST_00341,Forest Wagtail
TEST_00342,Sarus Crane
TEST_00343,Hoopoe
TEST_00344,White-Breasted Kingfisher
TEST_00345,Indian Pitta
TEST_00346,White-Breasted Waterhen
TEST_00347,Indian Roller
TEST_00348,Red-Wattled Lapwing
TEST_00349,House Crow
TEST_00350,Indian Grey Hornbill
TEST_00351,Cattle Egret
TEST_00352,House Crow
TEST_00353,Common Kingfisher
TEST_00354,Indian Grey Hornbill
TEST_00355,Sarus Crane
TEST_00356,Common Tailorbird
TEST_00357,Indian Peacock
TEST_00358,White-Breasted Kingfisher
TEST_00359,Forest Wagtail
TEST_00360,White-Breasted Kingfisher
TEST_00361,Gray Wagtail
TEST_00362,House Crow
TEST_00363,White-Breasted Waterhen
TEST_00364,Common Tailorbird
TEST_00365,White Wagtail
TEST_00366,Indian Roller
TEST_00367,Indian Peacock
TEST_00368,Hoopoe
TEST_00369,House Crow
TEST_00370,Indian Roller
TEST_00371,Indian Roller
TEST_00372,Asian Green Bee-Eater
TEST_00373,Indian Roller
TEST_00374,Common Tailorbird
TEST_00375,Gray Wagtail
TEST_00376,Northern Lapwing
TEST_00377,White-Breasted Kingfisher
TEST_00378,Forest Wagtail
TEST_00379,Indian Roller
TEST_00380,Northern Lapwing
TEST_00381,White-Breasted Waterhen
TEST_00382,Hoopoe
TEST_00383,White-Breasted Kingfisher
TEST_00384,Common Tailorbird
TEST_00385,Common Myna
TEST_00386,Common Rosefinch
TEST_00387,Sarus Crane
TEST_00388,Cattle Egret
TEST_00389,Hoopoe
TEST_00390,Indian Pitta
TEST_00391,Coppersmith Barbet
TEST_00392,Indian Peacock
TEST_00393,Forest Wagtail
TEST_00394,Red-Wattled Lapwing
TEST_00395,White-Breasted Waterhen
TEST_00396,Indian Peacock
TEST_00397,Indian Peacock
TEST_00398,Sarus Crane
TEST_00399,White Wagtail
TEST_00400,Common Rosefinch
TEST_00401,Sarus Crane
TEST_00402,Red-Wattled Lapwing
TEST_00403,Common Kingfisher
TEST_00404,White-Breasted Waterhen
TEST_00405,Sarus Crane
TEST_00406,Common Tailorbird
TEST_00407,Common Myna
TEST_00408,Brown-Headed Barbet
TEST_00409,Asian Green Bee-Eater
TEST_00410,Brown-Headed Barbet
TEST_00411,House Crow
TEST_00412,Ruddy Shelduck
TEST_00413,Coppersmith Barbet
TEST_00414,House Crow
TEST_00415,House Crow
TEST_00416,Hoopoe
TEST_00417,House Crow
TEST_00418,Indian Grey Hornbill
TEST_00419,Gray Wagtail
TEST_00420,Brown-Headed Barbet
TEST_00421,White-Breasted Kingfisher
TEST_00422,Asian Green Bee-Eater
TEST_00423,Indian Grey Hornbill
TEST_00424,Jungle Babbler
TEST_00425,Indian Grey Hornbill
TEST_00426,Ruddy Shelduck
TEST_00427,Red-Wattled Lapwing
TEST_00428,Indian Peacock
TEST_00429,Common Myna
TEST_00430,Common Kingfisher
TEST_00431,Rufous Treepie
TEST_00432,Common Myna
TEST_00433,Forest Wagtail
TEST_00434,Asian Green Bee-Eater
TEST_00435,Coppersmith Barbet
TEST_00436,Red-Wattled Lapwing
TEST_00437,Brown-Headed Barbet
TEST_00438,House Crow
TEST_00439,Coppersmith Barbet
TEST_00440,White Wagtail
TEST_00441,White Wagtail
TEST_00442,Coppersmith Barbet
TEST_00443,House Crow
TEST_00444,White-Breasted Waterhen
TEST_00445,House Crow
TEST_00446,House Crow
TEST_00447,Ruddy Shelduck
TEST_00448,White Wagtail
TEST_00449,Indian Pitta
TEST_00450,Forest Wagtail
TEST_00451,White-Breasted Kingfisher
TEST_00452,Northern Lapwing
TEST_00453,White Wagtail
TEST_00454,Common Myna
TEST_00455,Coppersmith Barbet
TEST_00456,Common Kingfisher
TEST_00457,White-Breasted Kingfisher
TEST_00458,Indian Grey Hornbill
TEST_00459,Indian Grey Hornbill
TEST_00460,Asian Green Bee-Eater
TEST_00461,Common Myna
TEST_00462,Cattle Egret
TEST_00463,Common Myna
TEST_00464,Indian Roller
TEST_00465,Indian Roller
TEST_00466,Ruddy Shelduck
TEST_00467,Asian Green Bee-Eater
TEST_00468,Jungle Babbler
TEST_00469,Indian Pitta
TEST_00470,Common Tailorbird
TEST_00471,Indian Peacock
TEST_00472,Indian Pitta
TEST_00473,Ruddy Shelduck
TEST_00474,Asian Green Bee-Eater
TEST_00475,House Crow
TEST_00476,House Crow
TEST_00477,Cattle Egret
TEST_00478,Indian Grey Hornbill
TEST_00479,Red-Wattled Lapwing
TEST_00480,Indian Grey Hornbill
TEST_00481,Northern Lapwing
TEST_00482,House Crow
TEST_00483,Red-Wattled Lapwing
TEST_00484,Forest Wagtail
TEST_00485,White Wagtail
TEST_00486,Indian Roller
TEST_00487,Asian Green Bee-Eater
TEST_00488,Common Tailorbird
TEST_00489,Common Tailorbird
TEST_00490,Brown-Headed Barbet
TEST_00491,Red-Wattled Lapwing
TEST_00492,Indian Grey Hornbill
TEST_00493,Common Rosefinch
TEST_00494,Hoopoe
TEST_00495,House Crow
TEST_00496,Cattle Egret
TEST_00497,White-Breasted Kingfisher
TEST_00498,Asian Green Bee-Eater
TEST_00499,Asian Green Bee-Eater
TEST_00500,Indian Pitta
TEST_00501,Hoopoe
TEST_00502,Indian Grey Hornbill
TEST_00503,Forest Wagtail
TEST_00504,Northern Lapwing
TEST_00505,House Crow
TEST_00506,Ruddy Shelduck
TEST_00507,Forest Wagtail
TEST_00508,House Crow
TEST_00509,Hoopoe
TEST_00510,Coppersmith Barbet
TEST_00511,White-Breasted Waterhen
TEST_00512,Indian Grey Hornbill
TEST_00513,Common Myna
TEST_00514,Indian Peacock
TEST_00515,Indian Grey Hornbill
TEST_00516,House Crow
TEST_00517,White-Breasted Kingfisher
TEST_00518,Cattle Egret
TEST_00519,Northern Lapwing
TEST_00520,Jungle Babbler
TEST_00521,House Crow
TEST_00522,House Crow
TEST_00523,House Crow
TEST_00524,White Wagtail
TEST_00525,Hoopoe
TEST_00526,Indian Roller
TEST_00527,Ruddy Shelduck
TEST_00528,Indian Pitta
TEST_00529,Cattle Egret
TEST_00530,Forest Wagtail
TEST_00531,Indian Grey Hornbill
TEST_00532,Brown-Headed Barbet
TEST_00533,Indian Peacock
TEST_00534,Coppersmith Barbet
TEST_00535,Hoopoe
TEST_00536,Asian Green Bee-Eater
TEST_00537,White-Breasted Kingfisher
TEST_00538,Coppersmith Barbet
TEST_00539,Forest Wagtail
TEST_00540,Ruddy Shelduck
TEST_00541,Forest Wagtail
TEST_00542,House Crow
TEST_00543,Forest Wagtail
TEST_00544,Forest Wagtail
TEST_00545,Hoopoe
TEST_00546,Red-Wattled Lapwing
TEST_00547,Hoopoe
TEST_00548,Indian Roller
TEST_00549,Northern Lapwing
TEST_00550,Asian Green Bee-Eater
TEST_00551,Indian Roller
TEST_00552,Asian Green Bee-Eater
TEST_00553,Common Rosefinch
TEST_00554,Indian Grey Hornbill
TEST_00555,Brown-Headed Barbet
TEST_00556,Common Rosefinch
TEST_00557,Indian Roller
TEST_00558,Ruddy Shelduck
TEST_00559,Forest Wagtail
TEST_00560,Rufous Treepie
TEST_00561,Indian Peacock
TEST_00562,Indian Grey Hornbill
TEST_00563,Hoopoe
TEST_00564,Indian Grey Hornbill
TEST_00565,Asian Green Bee-Eater
TEST_00566,White-Breasted Kingfisher
TEST_00567,Indian Pitta
TEST_00568,Brown-Headed Barbet
TEST_00569,Common Kingfisher
TEST_00570,Common Rosefinch
TEST_00571,White Wagtail
TEST_00572,Indian Roller
TEST_00573,Common Tailorbird
TEST_00574,Rufous Treepie
TEST_00575,Gray Wagtail
TEST_00576,Common Kingfisher
TEST_00577,Indian Roller
TEST_00578,Sarus Crane
TEST_00579,Common Tailorbird
TEST_00580,Common Rosefinch
TEST_00581,House Crow
TEST_00582,White Wagtail
TEST_00583,Ruddy Shelduck
TEST_00584,White-Breasted Kingfisher
TEST_00585,Sarus Crane
TEST_00586,Common Myna
TEST_00587,Indian Roller
TEST_00588,Brown-Headed Barbet
TEST_00589,Sarus Crane
TEST_00590,Sarus Crane
TEST_00591,Northern Lapwing
TEST_00592,Hoopoe
TEST_00593,Jungle Babbler
TEST_00594,Hoopoe
TEST_00595,White Wagtail
TEST_00596,White-Breasted Waterhen
TEST_00597,Common Tailorbird
TEST_00598,Common Tailorbird
TEST_00599,Ruddy Shelduck
TEST_00600,Indian Grey Hornbill
TEST_00601,Asian Green Bee-Eater
TEST_00602,House Crow
TEST_00603,Common Kingfisher
TEST_00604,Jungle Babbler
TEST_00605,Jungle Babbler
TEST_00606,Indian Pitta
TEST_00607,Indian Grey Hornbill
TEST_00608,White Wagtail
TEST_00609,Common Tailorbird
TEST_00610,Hoopoe
TEST_00611,Common Tailorbird
TEST_00612,Common Rosefinch
TEST_00613,Indian Pitta
TEST_00614,Common Kingfisher
TEST_00615,House Crow
TEST_00616,Sarus Crane
TEST_00617,White-Breasted Kingfisher
TEST_00618,Indian Pitta
TEST_00619,Northern Lapwing
TEST_00620,Red-Wattled Lapwing
TEST_00621,House Crow
TEST_00622,Common Kingfisher
TEST_00623,House Crow
TEST_00624,White-Breasted Kingfisher
TEST_00625,White Wagtail
TEST_00626,House Crow
TEST_00627,Cattle Egret
TEST_00628,Asian Green Bee-Eater
TEST_00629,Northern Lapwing
TEST_00630,Indian Grey Hornbill
TEST_00631,Red-Wattled Lapwing
TEST_00632,Asian Green Bee-Eater
TEST_00633,White-Breasted Kingfisher
TEST_00634,Indian Grey Hornbill
TEST_00635,Forest Wagtail
TEST_00636,Common Myna
TEST_00637,White Wagtail
TEST_00638,Hoopoe
TEST_00639,Common Rosefinch
TEST_00640,Jungle Babbler
TEST_00641,Asian Green Bee-Eater
TEST_00642,Hoopoe
TEST_00643,House Crow
TEST_00644,Cattle Egret
TEST_00645,Cattle Egret
TEST_00646,Common Myna
TEST_00647,Indian Pitta
TEST_00648,Forest Wagtail
TEST_00649,Indian Roller
TEST_00650,Jungle Babbler
TEST_00651,Northern Lapwing
TEST_00652,Common Tailorbird
TEST_00653,Sarus Crane
TEST_00654,Asian Green Bee-Eater
TEST_00655,Red-Wattled Lapwing
TEST_00656,White-Breasted Waterhen
TEST_00657,House Crow
TEST_00658,Common Kingfisher
TEST_00659,Common Rosefinch
TEST_00660,Hoopoe
TEST_00661,Indian Roller
TEST_00662,Ruddy Shelduck
TEST_00663,Indian Grey Hornbill
TEST_00664,Ruddy Shelduck
TEST_00665,Asian Green Bee-Eater
TEST_00666,Indian Peacock
TEST_00667,White-Breasted Kingfisher
TEST_00668,Jungle Babbler
TEST_00669,Asian Green Bee-Eater
TEST_00670,White Wagtail
TEST_00671,White Wagtail
TEST_00672,Indian Grey Hornbill
TEST_00673,Common Kingfisher
TEST_00674,Indian Grey Hornbill
TEST_00675,Common Myna
TEST_00676,White Wagtail
TEST_00677,Ruddy Shelduck
TEST_00678,White-Breasted Kingfisher
TEST_00679,Indian Peacock
TEST_00680,Common Tailorbird
TEST_00681,Indian Peacock
TEST_00682,White Wagtail
TEST_00683,Cattle Egret
TEST_00684,Common Kingfisher
TEST_00685,Indian Roller
TEST_00686,Red-Wattled Lapwing
TEST_00687,White-Breasted Waterhen
TEST_00688,Rufous Treepie
TEST_00689,Forest Wagtail
TEST_00690,Brown-Headed Barbet
TEST_00691,Cattle Egret
TEST_00692,Northern Lapwing
TEST_00693,Indian Grey Hornbill
TEST_00694,Common Myna
TEST_00695,Northern Lapwing
TEST_00696,Common Kingfisher
TEST_00697,White Wagtail
TEST_00698,House Crow
TEST_00699,Common Kingfisher
TEST_00700,White-Breasted Kingfisher
TEST_00701,Common Kingfisher
TEST_00702,White Wagtail
TEST_00703,Hoopoe
TEST_00704,House Crow
TEST_00705,Brown-Headed Barbet
TEST_00706,Common Myna
TEST_00707,Asian Green Bee-Eater
TEST_00708,Indian Grey Hornbill
TEST_00709,Red-Wattled Lapwing
TEST_00710,White Wagtail
TEST_00711,White-Breasted Waterhen
TEST_00712,Indian Grey Hornbill
TEST_00713,Asian Green Bee-Eater
TEST_00714,White-Breasted Waterhen
TEST_00715,Asian Green Bee-Eater
TEST_00716,Common Tailorbird
TEST_00717,Hoopoe
TEST_00718,Rufous Treepie
TEST_00719,Indian Peacock
TEST_00720,Common Tailorbird
TEST_00721,Indian Grey Hornbill
TEST_00722,Common Tailorbird
TEST_00723,Indian Peacock
TEST_00724,Common Tailorbird
TEST_00725,Indian Peacock
TEST_00726,Brown-Headed Barbet
TEST_00727,Common Myna
TEST_00728,Cattle Egret
TEST_00729,Ruddy Shelduck
TEST_00730,Cattle Egret
TEST_00731,Indian Grey Hornbill
TEST_00732,Forest Wagtail
TEST_00733,Ruddy Shelduck
TEST_00734,Indian Pitta
TEST_00735,Indian Grey Hornbill
TEST_00736,Forest Wagtail
TEST_00737,Common Tailorbird
TEST_00738,Rufous Treepie
TEST_00739,Sarus Crane
TEST_00740,Forest Wagtail
TEST_00741,White Wagtail
TEST_00742,Northern Lapwing
TEST_00743,Common Tailorbird
TEST_00744,Indian Grey Hornbill
TEST_00745,White Wagtail
TEST_00746,Hoopoe
TEST_00747,Common Myna
TEST_00748,Cattle Egret
TEST_00749,Hoopoe
TEST_00750,Jungle Babbler
TEST_00751,White-Breasted Waterhen
TEST_00752,Indian Roller
TEST_00753,Indian Grey Hornbill
TEST_00754,Red-Wattled Lapwing
TEST_00755,Forest Wagtail
TEST_00756,Hoopoe
TEST_00757,Common Kingfisher
TEST_00758,House Crow
TEST_00759,Rufous Treepie
TEST_00760,Common Tailorbird
TEST_00761,Common Rosefinch
TEST_00762,Indian Pitta
TEST_00763,Ruddy Shelduck
TEST_00764,White-Breasted Waterhen
TEST_00765,Indian Pitta
TEST_00766,Jungle Babbler
TEST_00767,Forest Wagtail
TEST_00768,House Crow
TEST_00769,Indian Grey Hornbill
TEST_00770,Forest Wagtail
TEST_00771,Indian Pitta
TEST_00772,Brown-Headed Barbet
TEST_00773,Forest Wagtail
TEST_00774,Sarus Crane
TEST_00775,White-Breasted Waterhen
TEST_00776,House Crow
TEST_00777,Indian Grey Hornbill
TEST_00778,Indian Peacock
TEST_00779,White Wagtail
TEST_00780,Northern Lapwing
TEST_00781,White-Breasted Waterhen
TEST_00782,House Crow
TEST_00783,Coppersmith Barbet
TEST_00784,Common Tailorbird
TEST_00785,Rufous Treepie
TEST_00786,Forest Wagtail
TEST_00787,Coppersmith Barbet
TEST_00788,Common Myna
TEST_00789,Common Tailorbird
TEST_00790,Asian Green Bee-Eater
TEST_00791,Rufous Treepie
TEST_00792,Cattle Egret
TEST_00793,White-Breasted Waterhen
TEST_00794,Coppersmith Barbet
TEST_00795,White-Breasted Waterhen
TEST_00796,Common Rosefinch
TEST_00797,White-Breasted Waterhen
TEST_00798,Indian Peacock
TEST_00799,White-Breasted Waterhen
TEST_00800,White-Breasted Waterhen
TEST_00801,Brown-Headed Barbet
TEST_00802,White-Breasted Waterhen
TEST_00803,Indian Grey Hornbill
TEST_00804,Jungle Babbler
TEST_00805,White-Breasted Kingfisher
TEST_00806,Hoopoe
TEST_00807,White-Breasted Waterhen
TEST_00808,Common Tailorbird
TEST_00809,Common Myna
TEST_00810,Jungle Babbler
TEST_00811,Sarus Crane
TEST_00812,Indian Grey Hornbill
TEST_00813,White Wagtail
TEST_00814,Red-Wattled Lapwing
TEST_00815,Northern Lapwing
TEST_00816,Hoopoe
TEST_00817,Indian Grey Hornbill
TEST_00818,Asian Green Bee-Eater
TEST_00819,Cattle Egret
TEST_00820,Indian Roller
TEST_00821,Sarus Crane
TEST_00822,Asian Green Bee-Eater
TEST_00823,White-Breasted Kingfisher
TEST_00824,Common Kingfisher
TEST_00825,Forest Wagtail
TEST_00826,Northern Lapwing
TEST_00827,Indian Roller
TEST_00828,Forest Wagtail
TEST_00829,House Crow
TEST_00830,Common Myna
TEST_00831,Red-Wattled Lapwing
TEST_00832,Indian Pitta
TEST_00833,Cattle Egret
TEST_00834,Indian Roller
TEST_00835,Gray Wagtail
TEST_00836,Forest Wagtail
TEST_00837,Ruddy Shelduck
TEST_00838,White-Breasted Kingfisher
TEST_00839,Common Kingfisher
TEST_00840,Cattle Egret
TEST_00841,Northern Lapwing
TEST_00842,House Crow
TEST_00843,Common Kingfisher
TEST_00844,White-Breasted Kingfisher
TEST_00845,Jungle Babbler
TEST_00846,Red-Wattled Lapwing
TEST_00847,Common Kingfisher
TEST_00848,Northern Lapwing
TEST_00849,Indian Peacock
TEST_00850,Sarus Crane
TEST_00851,Northern Lapwing
TEST_00852,Common Kingfisher
TEST_00853,Northern Lapwing
TEST_00854,Common Kingfisher
TEST_00855,White-Breasted Waterhen
TEST_00856,Forest Wagtail
TEST_00857,Common Myna
TEST_00858,Ruddy Shelduck
TEST_00859,Forest Wagtail
TEST_00860,White Wagtail
TEST_00861,Rufous Treepie
